Año,Título,Título original,País,Director,Idioma,Link
1983,Fanny & Alexander,Fanny och Alexander,Suecia,Ingmar Bergman,"Sueco (y alemán, inglés y yidis)",https://es.wikipedia.org/wiki/Fanny_y_Alexander
1984,Dangerous Moves,La Diagonale du fou,Suiza,Richard Dembo,Francés,https://es.wikipedia.org/wiki/La_diagonal_del_loco
1985,The Official Story,La historia oficial,Argentina,Luis Puenzo,Español,https://es.wikipedia.org/wiki/La_historia_oficial
1986,El asalto,De Aanslag,Países Bajos,Fons Rademakers,Neerlandés (y alemán e inglés),https://es.wikipedia.org/wiki/El_asalto_(pel%C3%ADcula_de_1986)
1987,Babette's Feast,Babettes gæstebud,Dinamarca,Gabriel Axel,Danés (y francés y sueco),https://es.wikipedia.org/wiki/El_fest%C3%ADn_de_Babette
1988,Pelle the Conqueror,Pelle Erobreren,Dinamarca,Bille August,Danés (y escaniano y sueco),https://es.wikipedia.org/wiki/Pelle_el_conquistador
1989,Cinema Paradiso,Nuovo cinema Paradiso,Italia,Giuseppe Tornatore,Italiano (e inglés y portugués),https://es.wikipedia.org/wiki/Cinema_Paradiso
1990,Journey of Hope,Reise der Hoffnung,Suiza,Xavier Koller,Alemán (y turco),https://es.wikipedia.org/wiki/Viaje_a_la_esperanza
1991,Mediterráneo,Mediterraneo,Italia,Gabriele Salvatores,"Italiano (y griego, inglés y turco)",https://es.wikipedia.org/wiki/Mediterr%C3%A1neo_(pel%C3%ADcula)
1992,Indochine,Indochine,Francia,Régis Wargnier,Francés (y vietnamita),https://es.wikipedia.org/wiki/Indochina_(pel%C3%ADcula)
1993,Belle Époque,Belle Époque,España,Fernando Trueba,Español,https://es.wikipedia.org/wiki/Belle_%C3%89poque_(pel%C3%ADcula)
1994,Burnt by the Sun,"Utomlyonnye solntsem
Утомлённые солнцем",Rusia,Nikita Mijalkov,Ruso (y francés),https://es.wikipedia.org/wiki/Quemado_por_el_sol
